indicator_name,EUR/USD Exchange Rate,Federal Funds Rate,GBP/USD Exchange Rate,US 10Y Inflation Expectations,US 10Y Treasury,US CPI,US GDP,US Unemployment Rate,USD/CHF Exchange Rate,USD/JPY Exchange Rate
EUR/USD Exchange Rate,1.0,-0.36041896327432105,0.4611477458402374,-0.10021092097162768,-0.36823675355905944,-0.3050137131800608,-0.139256300645243,0.14055778130392665,-0.18500188776403234,-0.46064800506170495
Federal Funds Rate,-0.36041896327432105,1.0,-0.48098420169714945,0.4615740091651301,0.9099802787684683,0.8146134035650862,0.8011407168144677,-0.4420170870983499,-0.5179495011177129,0.8497055793888486
GBP/USD Exchange Rate,0.4611477458402374,-0.48098420169714945,1.0,-0.24117744718146117,-0.29740574452088153,-0.46793671170455753,-0.4155999349037511,0.0661401551237568,-0.012209031885132433,-0.24370105740353565
US 10Y Inflation Expectations,-0.10021092097162768,0.4615740091651301,-0.24117744718146117,1.0,0.6001423274125226,0.6834957419877724,0.6875286761512397,-0.6087448829761269,-0.4777825168172996,0.567636992526735
US 10Y Treasury,-0.36823675355905944,0.9099802787684683,-0.29740574452088153,0.6001423274125226,1.0,0.7194977691318178,0.7461520873053685,-0.5787135137906142,-0.49781162909770504,0.8929021300032016
US CPI,-0.3050137131800608,0.8146134035650862,-0.46793671170455753,0.6834957419877724,0.7194977691318178,1.0,0.9963042433967768,-0.2684609811899269,-0.7743904588724845,0.850776541687941
US GDP,-0.139256300645243,0.8011407168144677,-0.4155999349037511,0.6875286761512397,0.7461520873053685,0.9963042433967768,1.0,-0.29486558307050353,-0.796014826476532,0.8024374638372763
US Unemployment Rate,0.14055778130392665,-0.4420170870983499,0.0661401551237568,-0.6087448829761269,-0.5787135137906142,-0.2684609811899269,-0.29486558307050353,1.0,0.034448702989017047,-0.34125769974982006
USD/CHF Exchange Rate,-0.18500188776403234,-0.5179495011177129,-0.012209031885132433,-0.4777825168172996,-0.49781162909770504,-0.7743904588724845,-0.796014826476532,0.034448702989017047,1.0,-0.6570813874336415
USD/JPY Exchange Rate,-0.46064800506170495,0.8497055793888486,-0.24370105740353565,0.567636992526735,0.8929021300032016,0.850776541687941,0.8024374638372763,-0.34125769974982006,-0.6570813874336415,1.0
