Symbol,Timeframe,Candles,Features,Date_Range,NaN_Pct
EURUSD,1H,6313,49,2025-03-17 to 2026-03-23,0.18132121828985107
EURUSD,4H,1582,49,2025-03-17 to 2026-03-23,0.7235656454259354
EURUSD,1D,264,49,2025-03-17 to 2026-03-23,4.335912314635719
USDJPY,1H,6312,49,2025-03-17 to 2026-03-23,0.18134994471860422
USDJPY,4H,1582,49,2025-03-17 to 2026-03-23,0.7235656454259354
USDJPY,1D,264,49,2025-03-17 to 2026-03-23,4.335912314635719
GBPUSD,1H,6311,49,2025-03-17 to 2026-03-23,0.18137868025096335
GBPUSD,4H,1582,49,2025-03-17 to 2026-03-23,0.7235656454259354
GBPUSD,1D,264,49,2025-03-17 to 2026-03-23,4.335912314635719
USDCHF,1H,6312,49,2025-03-17 to 2026-03-23,0.18134994471860422
USDCHF,4H,1582,49,2025-03-17 to 2026-03-23,0.7235656454259354
USDCHF,1D,264,49,2025-03-17 to 2026-03-23,4.335912314635719
