,open,high,low,close,volume,EUR/USD Exchange Rate,Federal Funds Rate,GBP/USD Exchange Rate,US 10Y Inflation Expectations,US 10Y Treasury,US CPI,US GDP,US Unemployment Rate,USD/CHF Exchange Rate,USD/JPY Exchange Rate,EUR/USD Exchange Rate_lag_1,Federal Funds Rate_lag_1,GBP/USD Exchange Rate_lag_1,US 10Y Inflation Expectations_lag_1,US 10Y Treasury_lag_1,EUR/USD Exchange Rate_lag_5,Federal Funds Rate_lag_5,GBP/USD Exchange Rate_lag_5,US 10Y Inflation Expectations_lag_5,US 10Y Treasury_lag_5,EUR/USD Exchange Rate_lag_20,Federal Funds Rate_lag_20,GBP/USD Exchange Rate_lag_20,US 10Y Inflation Expectations_lag_20,US 10Y Treasury_lag_20
open,1.0,0.9847395972315448,0.9924141303699784,0.9763608229617038,-0.08567351386214553,0.9820981704509137,-0.49087054247852036,0.7527794209675597,0.12956309848642014,-0.3596156835332836,0.6928261071971743,0.696251992271639,0.6615885072498403,-0.9327914716283349,0.34975370044556053,0.9954918195073849,-0.49059925318886605,0.7699364322838684,0.10421942173380461,-0.35861922141029773,0.9067554992078752,-0.48674953245775654,0.6700914996201575,0.09076614808972144,-0.3075865457352424,0.5901839283230241,-0.4000369335264144,0.4618879888830122,0.21940376877817216,-0.17635311491417663
high,0.9847395972315448,1.0,0.9856325210655834,0.9913524392618304,-0.0353836712487399,0.9937292130842755,-0.4843366111798306,0.7670430744657937,0.11445053264318421,-0.3378036064808543,0.682218565827211,0.6764382470944261,0.6352747739267725,-0.9465398051788072,0.3192855016175497,0.9830853520399234,-0.48541656734280575,0.7570496453663408,0.1042219083900732,-0.331494978293864,0.8871345068555427,-0.478130712990628,0.661471005762633,0.10789555019511718,-0.293826899464613,0.5789803983072932,-0.3885011212956353,0.4650364741340883,0.21773945886686005,-0.14272316094750445
low,0.9924141303699784,0.9856325210655834,1.0,0.9884490965415915,-0.121971816473709,0.9912170717674286,-0.49627322316488864,0.7545910566862001,0.10548195765213239,-0.3741039556327714,0.7004035877539943,0.702449503936303,0.675908506057045,-0.9342592821177966,0.3522701521369962,0.9891040476471602,-0.4949023541662872,0.7535698736365221,0.08731739119496355,-0.3653626170652945,0.9062760642120868,-0.4896921065745095,0.6588377961139945,0.08327337069542935,-0.31681266703213307,0.589479622837844,-0.3893924357272648,0.44347618730757,0.21646232536330814,-0.1851631656863418
close,0.9763608229617038,0.9913524392618304,0.9884490965415915,1.0,-0.07568512024263244,0.9963329203030808,-0.4909037355236717,0.7668598809873253,0.10122464853529513,-0.3605052948571736,0.6911277729580287,0.6861514813841615,0.6534683320738742,-0.942388846152332,0.3345834109094992,0.9745135710453957,-0.4913205861549945,0.7420971928725717,0.09896437907851832,-0.34210793782890997,0.8904843433627533,-0.4850399297268523,0.6532106716364542,0.10151244540711014,-0.2995731878405108,0.5804979692628215,-0.3895499418058288,0.45289688159295594,0.22027572409535512,-0.1587470173625666
volume,-0.08567351386214553,-0.0353836712487399,-0.121971816473709,-0.07568512024263244,1.0,-0.08200454486948495,-0.313966956285879,-0.018166673166408662,-0.11255955143773273,0.11107420024543922,0.07600932119678148,-0.06271512702959844,-0.10677230079353299,-0.1434392782095351,0.18825708241353592,-0.09020031409485106,-0.31990026985107023,-0.021924452156468467,-0.10877143200099271,0.07377858967675847,-0.15022181605993232,-0.3818219050398141,-0.07506707935952454,-0.1387837157837078,-0.022840148660604583,0.03954950953327372,-0.5906306555230535,0.08996443743571542,-0.2303286800263792,-0.07112463900570824
EUR/USD Exchange Rate,0.9820981704509137,0.9937292130842755,0.9912170717674286,0.9963329203030808,-0.08200454486948495,1.0,-0.48379994758413675,0.7692085334992185,0.10401539036856593,-0.3598514777102073,0.6861995789264337,0.6826094298226184,0.6498290493910297,-0.9444794375737029,0.32540461999420356,0.9795467018096882,-0.48394388182898507,0.7492069412115633,0.09711519684932197,-0.3445394269005034,0.8959515638049967,-0.476789647471584,0.6633656971793109,0.10015846653455772,-0.29917918219206036,0.5764092921908281,-0.379165652034805,0.45079632466727115,0.23294958408713703,-0.14517608236340837
Federal Funds Rate,-0.49087054247852036,-0.4843366111798306,-0.49627322316488864,-0.4909037355236717,-0.313966956285879,-0.48379994758413675,1.0,-0.12644321812221332,0.25205232057893256,0.49299176589432825,-0.8896067066311951,-0.7533975178022474,-0.7292216593490177,0.6535999332683912,-0.8918814903247324,-0.4869739075604066,0.9952689222231949,-0.13412609563108152,0.26094430134242913,0.5098125843752241,-0.4991195244854273,0.9767320867011892,-0.1488758291546062,0.31522184885397597,0.5623732620134183,-0.5262805334350681,0.9141627320975021,-0.10732010772558438,0.32464751953743454,0.6218991359490627
GBP/USD Exchange Rate,0.7527794209675597,0.7670430744657937,0.7545910566862001,0.7668598809873253,-0.018166673166408662,0.7692085334992185,-0.12644321812221332,1.0,0.2630327110251011,0.07585496103362262,0.17562997031389915,0.07863887945504183,0.20854708205292644,-0.6826644734334859,-0.08284406814266455,0.7404499391731221,-0.12285002483080651,0.9592972513131071,0.24797198100530518,0.11398814493228394,0.612832780925412,-0.10337198707088804,0.7880587014237583,0.18506902144972784,0.21635570766529613,0.05627216364577918,-0.03889245778044776,0.2785043476922084,0.06854033495843728,0.4123269324167784
US 10Y Inflation Expectations,0.12956309848642014,0.11445053264318421,0.10548195765213239,0.10122464853529513,-0.11255955143773273,0.10401539036856593,0.25205232057893256,0.2630327110251011,1.0,0.3271593623729991,0.005813324059317167,0.05071752943068786,0.04532222576714232,-0.04236027933749741,-0.13899905992985426,0.12301918093493949,0.249006968651566,0.2867937200951888,0.9349738740017085,0.3230218376337143,0.20807181890232537,0.2642810982689967,0.39046883831719437,0.7188098946532835,0.28264996095023587,0.3394241362945864,0.2775170914151678,0.536790629408379,0.29728646431650113,0.36899194142505337
US 10Y Treasury,-0.3596156835332836,-0.3378036064808543,-0.3741039556327714,-0.3605052948571736,0.11107420024543922,-0.3598514777102073,0.49299176589432825,0.07585496103362262,0.3271593623729991,1.0,-0.6423522671596691,-0.6616085217295693,-0.6264532007731265,0.37559904072279965,-0.5496818361045906,-0.3604988011511327,0.4896864786774236,0.06548411285716778,0.2722887076187031,0.9473349300736628,-0.39211120918853976,0.4869754607158122,0.038347854192262505,0.08616989438509726,0.7622552299534331,-0.505220981932582,0.3707529312350969,-0.1569710877369523,-0.30189514995633504,0.5610697509387518
