,open,high,low,close,volume,EUR/USD Exchange Rate,Federal Funds Rate,GBP/USD Exchange Rate,US 10Y Inflation Expectations,US 10Y Treasury,US CPI,US GDP,US Unemployment Rate,USD/CHF Exchange Rate,USD/JPY Exchange Rate,EUR/USD Exchange Rate_lag_1,Federal Funds Rate_lag_1,GBP/USD Exchange Rate_lag_1,US 10Y Inflation Expectations_lag_1,US 10Y Treasury_lag_1,EUR/USD Exchange Rate_lag_5,Federal Funds Rate_lag_5,GBP/USD Exchange Rate_lag_5,US 10Y Inflation Expectations_lag_5,US 10Y Treasury_lag_5,EUR/USD Exchange Rate_lag_20,Federal Funds Rate_lag_20,GBP/USD Exchange Rate_lag_20,US 10Y Inflation Expectations_lag_20,US 10Y Treasury_lag_20
open,1.0,0.9789947695239405,0.9816920996781705,0.9531394941967282,-0.22905844216001195,0.7576985972806927,-0.1486334003424857,0.9646350462009017,0.28404623763035225,0.05831614185494505,0.20481317561669588,0.11988971954680355,0.23770527667533073,-0.6813517761397165,-0.047177935026879295,0.7646239505737429,-0.14563717813240104,0.9933948555896052,0.25912280575107144,0.07670009014498247,0.6365497712550687,-0.13139203832558624,0.8089818035579798,0.1994971424433154,0.18854397952603558,0.09805624138345018,-0.06434138864936502,0.31738460992908724,0.0717073754394838,0.36891539172023463
high,0.9789947695239405,1.0,0.9799310614945171,0.9831337593122494,-0.1713812148118898,0.7578007055926953,-0.1364669820060169,0.9866085919474256,0.2721844710820613,0.08913148664183881,0.17565789662084116,0.07310307043723159,0.197960059381682,-0.6846716100234336,-0.07570643514416679,0.7398360808234133,-0.13248897158751408,0.9740097767926678,0.2597290905720012,0.11624765242602116,0.6037770935274459,-0.12005208187331778,0.7971132417845866,0.20763494348412626,0.22028484554931443,0.07202424549401726,-0.0655666112402867,0.29755497640127787,0.05155172398790288,0.39485663600424364
low,0.9816920996781705,0.9799310614945171,1.0,0.9799063029572868,-0.2602465684681841,0.767107580344943,-0.14221136306205132,0.9868648637048429,0.27707286236989453,0.06638819706024182,0.20105388409346336,0.11143064309421051,0.23541607283669275,-0.6788965287388983,-0.06071846726161559,0.7556490195661675,-0.13775455781297696,0.9759973667078677,0.2526994760523481,0.09419445982888397,0.6307441873988012,-0.11836119874030065,0.7942478289894822,0.18744284147271978,0.199341849453728,0.07923839716702971,-0.04278852364537261,0.28762338556284445,0.0657579232986114,0.38025552457476536
close,0.9531394941967282,0.9831337593122494,0.9799063029572868,1.0,-0.20634595316921708,0.7673504589417816,-0.14704816834866444,0.9932383456941901,0.25921346033085296,0.07275390871653734,0.19362427510862104,0.09338157111078406,0.2167261842022837,-0.6860663175040478,-0.06585036199664394,0.7363689822180935,-0.14391293867312713,0.9481521896001939,0.24932374411406127,0.11348021877747243,0.6105172330485481,-0.1251316495989259,0.7748392222294099,0.1846285439349323,0.20806272306685164,0.07090749065880333,-0.06681823338923333,0.2824185257275867,0.05828068373800502,0.38296397282216227
volume,-0.22905844216001195,-0.1713812148118898,-0.2602465684681841,-0.20634595316921708,1.0,-0.26410692655735735,-0.14167612085947093,-0.22834288413544787,-0.08943112293716236,0.17329335471152185,-0.059648034886024444,-0.14833163052914627,-0.20850411198769292,0.03248150998614251,0.11971685365905876,-0.2830878110704753,-0.14610064909710685,-0.23983056933340324,-0.07225920534030299,0.1326871007289273,-0.3282979006195975,-0.1987027420123829,-0.278916538555306,-0.11359292562595236,0.009418040165882454,-0.0174768937810247,-0.386136044861244,0.02288820613597199,-0.18247194470628064,-0.08379907630498272
EUR/USD Exchange Rate,0.7576985972806927,0.7578007055926953,0.767107580344943,0.7673504589417816,-0.26410692655735735,1.0,-0.48379994758413675,0.7692085334992185,0.10401539036856593,-0.3598514777102073,0.6861995789264337,0.6826094298226184,0.6498290493910297,-0.9444794375737029,0.32540461999420356,0.9795467018096882,-0.48394388182898507,0.7492069412115633,0.09711519684932197,-0.3445394269005034,0.8959515638049967,-0.476789647471584,0.6633656971793109,0.10015846653455772,-0.29917918219206036,0.5764092921908281,-0.379165652034805,0.45079632466727115,0.23294958408713703,-0.14517608236340837
Federal Funds Rate,-0.1486334003424857,-0.1364669820060169,-0.14221136306205132,-0.14704816834866444,-0.14167612085947093,-0.48379994758413675,1.0,-0.12644321812221332,0.25205232057893256,0.49299176589432825,-0.8896067066311951,-0.7533975178022474,-0.7292216593490177,0.6535999332683912,-0.8918814903247324,-0.4869739075604066,0.9952689222231949,-0.13412609563108152,0.26094430134242913,0.5098125843752241,-0.4991195244854273,0.9767320867011892,-0.1488758291546062,0.31522184885397597,0.5623732620134183,-0.5262805334350681,0.9141627320975021,-0.10732010772558438,0.32464751953743454,0.6218991359490627
GBP/USD Exchange Rate,0.9646350462009017,0.9866085919474256,0.9868648637048429,0.9932383456941901,-0.22834288413544787,0.7692085334992185,-0.12644321812221332,1.0,0.2630327110251011,0.07585496103362262,0.17562997031389915,0.07863887945504183,0.20854708205292644,-0.6826644734334859,-0.08284406814266455,0.7404499391731221,-0.12285002483080651,0.9592972513131071,0.24797198100530518,0.11398814493228394,0.612832780925412,-0.10337198707088804,0.7880587014237583,0.18506902144972784,0.21635570766529613,0.05627216364577918,-0.03889245778044776,0.2785043476922084,0.06854033495843728,0.4123269324167784
US 10Y Inflation Expectations,0.28404623763035225,0.2721844710820613,0.27707286236989453,0.25921346033085296,-0.08943112293716236,0.10401539036856593,0.25205232057893256,0.2630327110251011,1.0,0.3271593623729991,0.005813324059317167,0.05071752943068786,0.04532222576714232,-0.04236027933749741,-0.13899905992985426,0.12301918093493949,0.249006968651566,0.2867937200951888,0.9349738740017085,0.3230218376337143,0.20807181890232537,0.2642810982689967,0.39046883831719437,0.7188098946532835,0.28264996095023587,0.3394241362945864,0.2775170914151678,0.536790629408379,0.29728646431650113,0.36899194142505337
US 10Y Treasury,0.05831614185494505,0.08913148664183881,0.06638819706024182,0.07275390871653734,0.17329335471152185,-0.3598514777102073,0.49299176589432825,0.07585496103362262,0.3271593623729991,1.0,-0.6423522671596691,-0.6616085217295693,-0.6264532007731265,0.37559904072279965,-0.5496818361045906,-0.3604988011511327,0.4896864786774236,0.06548411285716778,0.2722887076187031,0.9473349300736628,-0.39211120918853976,0.4869754607158122,0.038347854192262505,0.08616989438509726,0.7622552299534331,-0.505220981932582,0.3707529312350969,-0.1569710877369523,-0.30189514995633504,0.5610697509387518
