,open,high,low,close,volume,EUR/USD Exchange Rate,Federal Funds Rate,GBP/USD Exchange Rate,US 10Y Inflation Expectations,US 10Y Treasury,US CPI,US GDP,US Unemployment Rate,USD/CHF Exchange Rate,USD/JPY Exchange Rate,EUR/USD Exchange Rate_lag_1,Federal Funds Rate_lag_1,GBP/USD Exchange Rate_lag_1,US 10Y Inflation Expectations_lag_1,US 10Y Treasury_lag_1,EUR/USD Exchange Rate_lag_5,Federal Funds Rate_lag_5,GBP/USD Exchange Rate_lag_5,US 10Y Inflation Expectations_lag_5,US 10Y Treasury_lag_5,EUR/USD Exchange Rate_lag_20,Federal Funds Rate_lag_20,GBP/USD Exchange Rate_lag_20,US 10Y Inflation Expectations_lag_20,US 10Y Treasury_lag_20
open,1.0,0.9941857547122357,0.9892933720350673,0.9804885887902647,0.2269272657131433,-0.9319169138789448,0.6425649032963441,-0.673895606624432,-0.06851660560022187,0.3661750367380427,-0.7685647019461868,-0.7513093424712245,-0.7112708830650838,0.985392144143794,-0.4500170425096833,-0.9454637660624023,0.652245389090259,-0.6902419150488603,-0.0386182228586012,0.3804325547146229,-0.8774383112992333,0.6872864713017446,-0.616275143688397,-0.020322429423622567,0.3769637963142825,-0.6646019347664219,0.682458701634462,-0.5233870902433281,-0.09658833585394594,0.3217467687865187
high,0.9941857547122357,1.0,0.9880732364942397,0.9892706616887507,0.2534545868725742,-0.9447311369256141,0.6501428333929595,-0.6844308780735777,-0.06507459900460201,0.3816931358459667,-0.7828318502630791,-0.7670806421289363,-0.7335723227663072,0.9917648416403783,-0.46039824701301163,-0.946218636117402,0.6581445326652038,-0.68731866308554,-0.046491630111954195,0.38776440138703633,-0.8897256154923172,0.6919709320770553,-0.6233279937860909,-0.026214459731644157,0.3849831643324747,-0.6845984341656983,0.6787655989400786,-0.529131219522429,-0.10474455272595645,0.32685556485156814
low,0.9892933720350673,0.9880732364942397,1.0,0.9929870661026381,0.17260854346724733,-0.932738793231,0.6568724732580126,-0.6725013596699734,-0.03934814494336681,0.3599220220993928,-0.7673342765944644,-0.7423786262281034,-0.6916298449064044,0.995162953460273,-0.4350528516007196,-0.9281948655046044,0.6700709929304938,-0.6689937755134061,-0.024027351194203645,0.3700946886775642,-0.8554951518996411,0.7040377821158851,-0.6023261271637417,-0.021499146927076624,0.3770099377876603,-0.6535300315283823,0.6933623267146223,-0.5194423082046231,-0.08203980858705648,0.3183400478111376
close,0.9804885887902647,0.9892706616887507,0.9929870661026381,1.0,0.20178882860660913,-0.9426545660241449,0.6500241911414127,-0.688021746320099,-0.041271164867407055,0.3691178255457709,-0.7684613201401593,-0.7450450370528907,-0.7037511172330615,0.9968477821040073,-0.4381007630452289,-0.9274695793542597,0.6619491225947886,-0.6694553201430954,-0.03668049346970649,0.36737615460632406,-0.865900123713506,0.6948515940738013,-0.6102617962133962,-0.027251662956873788,0.37396109794227245,-0.6591010727027056,0.6797391118859697,-0.5197740637526919,-0.09184847022020316,0.31488948476682554
volume,0.2269272657131433,0.2534545868725742,0.17260854346724733,0.20178882860660913,1.0,-0.3672199233381731,0.25255822245345894,-0.1929492442361572,-0.02950731000551514,0.4163230656964186,-0.43279503491072685,-0.4894876748483604,-0.559832877860431,0.20207275564270802,-0.2920088841579896,-0.3937491589681178,0.25007795444137076,-0.2102831386430296,-0.011090822180263865,0.3834562708096997,-0.4911973931937068,0.20793786359636762,-0.2987079538261291,-0.017117007616442994,0.28200034873700075,-0.3239708463830919,0.010883883057385675,-0.09309076965379189,-0.053767825682532036,0.24870316747331603
EUR/USD Exchange Rate,-0.9319169138789448,-0.9447311369256141,-0.932738793231,-0.9426545660241449,-0.3672199233381731,1.0,-0.48379994758413675,0.7692085334992185,0.10401539036856593,-0.3598514777102073,0.6861995789264337,0.6826094298226184,0.6498290493910297,-0.9444794375737029,0.32540461999420356,0.9795467018096882,-0.48394388182898507,0.7492069412115633,0.09711519684932197,-0.3445394269005034,0.8959515638049967,-0.476789647471584,0.6633656971793109,0.10015846653455772,-0.29917918219206036,0.5764092921908281,-0.379165652034805,0.45079632466727115,0.23294958408713703,-0.14517608236340837
Federal Funds Rate,0.6425649032963441,0.6501428333929595,0.6568724732580126,0.6500241911414127,0.25255822245345894,-0.48379994758413675,1.0,-0.12644321812221332,0.25205232057893256,0.49299176589432825,-0.8896067066311951,-0.7533975178022474,-0.7292216593490177,0.6535999332683912,-0.8918814903247324,-0.4869739075604066,0.9952689222231949,-0.13412609563108152,0.26094430134242913,0.5098125843752241,-0.4991195244854273,0.9767320867011892,-0.1488758291546062,0.31522184885397597,0.5623732620134183,-0.5262805334350681,0.9141627320975021,-0.10732010772558438,0.32464751953743454,0.6218991359490627
GBP/USD Exchange Rate,-0.673895606624432,-0.6844308780735777,-0.6725013596699734,-0.688021746320099,-0.1929492442361572,0.7692085334992185,-0.12644321812221332,1.0,0.2630327110251011,0.07585496103362262,0.17562997031389915,0.07863887945504183,0.20854708205292644,-0.6826644734334859,-0.08284406814266455,0.7404499391731221,-0.12285002483080651,0.9592972513131071,0.24797198100530518,0.11398814493228394,0.612832780925412,-0.10337198707088804,0.7880587014237583,0.18506902144972784,0.21635570766529613,0.05627216364577918,-0.03889245778044776,0.2785043476922084,0.06854033495843728,0.4123269324167784
US 10Y Inflation Expectations,-0.06851660560022187,-0.06507459900460201,-0.03934814494336681,-0.041271164867407055,-0.02950731000551514,0.10401539036856593,0.25205232057893256,0.2630327110251011,1.0,0.3271593623729991,0.005813324059317167,0.05071752943068786,0.04532222576714232,-0.04236027933749741,-0.13899905992985426,0.12301918093493949,0.249006968651566,0.2867937200951888,0.9349738740017085,0.3230218376337143,0.20807181890232537,0.2642810982689967,0.39046883831719437,0.7188098946532835,0.28264996095023587,0.3394241362945864,0.2775170914151678,0.536790629408379,0.29728646431650113,0.36899194142505337
US 10Y Treasury,0.3661750367380427,0.3816931358459667,0.3599220220993928,0.3691178255457709,0.4163230656964186,-0.3598514777102073,0.49299176589432825,0.07585496103362262,0.3271593623729991,1.0,-0.6423522671596691,-0.6616085217295693,-0.6264532007731265,0.37559904072279965,-0.5496818361045906,-0.3604988011511327,0.4896864786774236,0.06548411285716778,0.2722887076187031,0.9473349300736628,-0.39211120918853976,0.4869754607158122,0.038347854192262505,0.08616989438509726,0.7622552299534331,-0.505220981932582,0.3707529312350969,-0.1569710877369523,-0.30189514995633504,0.5610697509387518
