,open,high,low,close,volume,EUR/USD Exchange Rate,Federal Funds Rate,GBP/USD Exchange Rate,US 10Y Inflation Expectations,US 10Y Treasury,US CPI,US GDP,US Unemployment Rate,USD/CHF Exchange Rate,USD/JPY Exchange Rate,EUR/USD Exchange Rate_lag_1,Federal Funds Rate_lag_1,GBP/USD Exchange Rate_lag_1,US 10Y Inflation Expectations_lag_1,US 10Y Treasury_lag_1,EUR/USD Exchange Rate_lag_5,Federal Funds Rate_lag_5,GBP/USD Exchange Rate_lag_5,US 10Y Inflation Expectations_lag_5,US 10Y Treasury_lag_5,EUR/USD Exchange Rate_lag_20,Federal Funds Rate_lag_20,GBP/USD Exchange Rate_lag_20,US 10Y Inflation Expectations_lag_20,US 10Y Treasury_lag_20
open,1.0,0.9945966195382903,0.9928702971370923,0.9844354544515295,-0.10142371826309608,0.32708095192336495,-0.8915980691539249,-0.08216635346551003,-0.15471681299830195,-0.5581975495633893,0.8862382758500917,0.8438195135466974,0.7687089895145636,-0.4418286897014695,0.9873931067507754,0.3295627545955137,-0.8907409202168006,-0.0845496010612502,-0.14111607785756744,-0.5624826134280436,0.4380443848407919,-0.8848282409307734,0.02890044528803691,-0.1996414023058304,-0.6345540075817642,0.6867990303790398,-0.8433698063702473,0.23608096184805172,-0.25967013118675314,-0.6877854838244309
high,0.9945966195382903,1.0,0.9928360362775935,0.9932634496794857,-0.09319121353482865,0.321281543762905,-0.8951730921415239,-0.08921173829801497,-0.15251502363323866,-0.5527915075707104,0.8858709426923774,0.84378855196961,0.7673026517662477,-0.440422458398597,0.994653751797833,0.3336924846975753,-0.8948362429445607,-0.07718471792602025,-0.1477769686505876,-0.5694595271007087,0.4389246522633891,-0.8896098362501318,0.034040040634710854,-0.19637577937602776,-0.633334427187494,0.6872231895595632,-0.8518045992397065,0.23921748090403103,-0.2661895461714256,-0.6908054530140944
low,0.9928702971370923,0.9928360362775935,1.0,0.9937954397856296,-0.13021849978087013,0.34373991827142725,-0.893112559079343,-0.0653532160723429,-0.1361833589673929,-0.5626685271971975,0.898340172619669,0.859964686853993,0.7887131656834908,-0.4530882099744002,0.9953713426238429,0.35968798920192613,-0.8930420069969046,-0.05152235586073421,-0.1338744525877101,-0.5762037327703714,0.4701883877972056,-0.8855801233489273,0.05619410149904291,-0.20168843656888982,-0.6397217294413503,0.6934196452222361,-0.8437347721293467,0.2444922032774507,-0.24622131281413276,-0.6863967060229614
close,0.9844354544515295,0.9932634496794857,0.9937954397856296,1.0,-0.11256594692994917,0.3273465431187054,-0.8916840002933909,-0.0864111685946669,-0.13969171945384223,-0.5526450976353036,0.8901992342337524,0.8528056591700756,0.7787195850021881,-0.44282936483138896,0.9977380047550103,0.3530872616050906,-0.8915936393363256,-0.05708035600041908,-0.14875350346876012,-0.5822859650429809,0.45546215767195436,-0.8844093461566724,0.04565007800412032,-0.20442347896067972,-0.6427348271766061,0.6903699250866719,-0.8437610437612734,0.24255913265868612,-0.2541151406686217,-0.6885847051986032
volume,-0.10142371826309608,-0.09319121353482865,-0.13021849978087013,-0.11256594692994917,1.0,-0.39803759999831784,0.10703702288451634,-0.2562708414442078,0.0067048521902762555,0.306300448195793,-0.2829533009322466,-0.34071900882929207,-0.3941964248157446,0.20831843794549584,-0.11422514951234652,-0.4127989056809886,0.10110591199618714,-0.26109081188860395,0.021779128878039712,0.2744388195251149,-0.46350799862506264,0.05733952355327505,-0.3073586810727836,-0.010578760688703804,0.15882017139609314,-0.1469543320469545,-0.10643058597480837,0.01410171603620692,-0.09349430794565307,0.09511778396392624
EUR/USD Exchange Rate,0.32708095192336495,0.321281543762905,0.34373991827142725,0.3273465431187054,-0.39803759999831784,1.0,-0.48379994758413675,0.7692085334992185,0.10401539036856593,-0.3598514777102073,0.6861995789264337,0.6826094298226184,0.6498290493910297,-0.9444794375737029,0.32540461999420356,0.9795467018096882,-0.48394388182898507,0.7492069412115633,0.09711519684932197,-0.3445394269005034,0.8959515638049967,-0.476789647471584,0.6633656971793109,0.10015846653455772,-0.29917918219206036,0.5764092921908281,-0.379165652034805,0.45079632466727115,0.23294958408713703,-0.14517608236340837
Federal Funds Rate,-0.8915980691539249,-0.8951730921415239,-0.893112559079343,-0.8916840002933909,0.10703702288451634,-0.48379994758413675,1.0,-0.12644321812221332,0.25205232057893256,0.49299176589432825,-0.8896067066311951,-0.7533975178022474,-0.7292216593490177,0.6535999332683912,-0.8918814903247324,-0.4869739075604066,0.9952689222231949,-0.13412609563108152,0.26094430134242913,0.5098125843752241,-0.4991195244854273,0.9767320867011892,-0.1488758291546062,0.31522184885397597,0.5623732620134183,-0.5262805334350681,0.9141627320975021,-0.10732010772558438,0.32464751953743454,0.6218991359490627
GBP/USD Exchange Rate,-0.08216635346551003,-0.08921173829801497,-0.0653532160723429,-0.0864111685946669,-0.2562708414442078,0.7692085334992185,-0.12644321812221332,1.0,0.2630327110251011,0.07585496103362262,0.17562997031389915,0.07863887945504183,0.20854708205292644,-0.6826644734334859,-0.08284406814266455,0.7404499391731221,-0.12285002483080651,0.9592972513131071,0.24797198100530518,0.11398814493228394,0.612832780925412,-0.10337198707088804,0.7880587014237583,0.18506902144972784,0.21635570766529613,0.05627216364577918,-0.03889245778044776,0.2785043476922084,0.06854033495843728,0.4123269324167784
US 10Y Inflation Expectations,-0.15471681299830195,-0.15251502363323866,-0.1361833589673929,-0.13969171945384223,0.0067048521902762555,0.10401539036856593,0.25205232057893256,0.2630327110251011,1.0,0.3271593623729991,0.005813324059317167,0.05071752943068786,0.04532222576714232,-0.04236027933749741,-0.13899905992985426,0.12301918093493949,0.249006968651566,0.2867937200951888,0.9349738740017085,0.3230218376337143,0.20807181890232537,0.2642810982689967,0.39046883831719437,0.7188098946532835,0.28264996095023587,0.3394241362945864,0.2775170914151678,0.536790629408379,0.29728646431650113,0.36899194142505337
US 10Y Treasury,-0.5581975495633893,-0.5527915075707104,-0.5626685271971975,-0.5526450976353036,0.306300448195793,-0.3598514777102073,0.49299176589432825,0.07585496103362262,0.3271593623729991,1.0,-0.6423522671596691,-0.6616085217295693,-0.6264532007731265,0.37559904072279965,-0.5496818361045906,-0.3604988011511327,0.4896864786774236,0.06548411285716778,0.2722887076187031,0.9473349300736628,-0.39211120918853976,0.4869754607158122,0.038347854192262505,0.08616989438509726,0.7622552299534331,-0.505220981932582,0.3707529312350969,-0.1569710877369523,-0.30189514995633504,0.5610697509387518
US CPI,0.8862382758500917,0.8858709426923774,0.898340172619669,0.8901992342337524,-0.2829533009322466,0.6861995789264337,-0.8896067066311951,0.17562997031389915,0.005813324059317167,-0.6423522671596691,1.0,0.9344257480923411,0.8762359745774162,-0.7747210523520184,0.8904720196062351,0.6911223006701032,-0.8841632929885267,0.193211055772865,-0.0035967708346020186,-0.6520496359158264,0.7140916562700051,-0.8627609511394086,0.25203330128458185,-0.046073225419977694,-0.6785235992363811,0.7640576798385433,-0.789565891447886,0.3095927094665917,-0.041721947975362696,-0.6164844937352169
US GDP,0.8438195135466974,0.84378855196961,0.859964686853993,0.8528056591700756,-0.34071900882929207,0.6826094298226184,-0.7533975178022474,0.07863887945504183,0.05071752943068786,-0.6616085217295693,0.9344257480923411,1.0,0.8436848306817671,-0.7520066513203338,0.8534639189582287,0.694917716615692,-0.747940932211317,0.10860524174511715,0.04263425187807441,-0.6684641210769204,0.7332062896528279,-0.7263991194140591,0.2066033527321001,0.004264654036818121,-0.6848680052620516,0.807639960094287,-0.6510996334627279,0.40119684393971733,0.03122100864942736,-0.6386808966899155
US Unemployment Rate,0.7687089895145636,0.7673026517662477,0.7887131656834908,0.7787195850021881,-0.3941964248157446,0.6498290493910297,-0.7292216593490177,0.20854708205292644,0.04532222576714232,-0.6264532007731265,0.8762359745774162,0.8436848306817671,1.0,-0.708448878858471,0.7789134564055946,0.6617532638560051,-0.7240220050555782,0.23402947846504696,0.03524146618103078,-0.6342361279355377,0.7096629005531704,-0.7039515204919852,0.32151869717119586,0.007656270708591043,-0.653730943954969,0.7741113969742389,-0.6480476988207947,0.35336246989977876,-0.047078750919963365,-0.6421387591813961
USD/CHF Exchange Rate,-0.4418286897014695,-0.440422458398597,-0.4530882099744002,-0.44282936483138896,0.20831843794549584,-0.9444794375737029,0.6535999332683912,-0.6826644734334859,-0.04236027933749741,0.37559904072279965,-0.7747210523520184,-0.7520066513203338,-0.708448878858471,1.0,-0.43993707463315856,-0.9303134025688973,0.6649942288193832,-0.669015905741807,-0.034302912118051886,0.3763108322485546,-0.8680874909636246,0.6966074699166874,-0.6101992094889748,-0.02784931099943511,0.38273553765373225,-0.665807492216203,0.6803001192794063,-0.5219954386239333,-0.10272493694315615,0.3141212394906812
USD/JPY Exchange Rate,0.9873931067507754,0.994653751797833,0.9953713426238429,0.9977380047550103,-0.11422514951234652,0.32540461999420356,-0.8918814903247324,-0.08284406814266455,-0.13899905992985426,-0.5496818361045906,0.8904720196062351,0.8534639189582287,0.7789134564055946,-0.43993707463315856,1.0,0.34952990972560666,-0.8919220516604611,-0.05760265830530518,-0.14464996059773283,-0.5754376114713003,0.45501499476618146,-0.8857855013296431,0.045610839880335076,-0.2023082430950845,-0.6369056439276095,0.6904325332527962,-0.8445757585489282,0.24471208498153474,-0.2599143635338863,-0.6896770046995773
